Lotothis | The Obsidian Palace Guard | Obsidian Palace | The Dais | Sat Aug 26 20:28:04 2000
Marlim | a minotaur ambassador | The Elven Stronghold | An Arched Hallway | Wed May  1 22:08:35 2002
Marlim | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Thu May  2 16:16:50 2002
Marlim | a stronghold patrolman | The Elven Stronghold | An Ornate Hallway | Fri May  3 20:43:13 2002
Norklan | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Sat May  4 01:39:45 2002
Umoindra | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Sat May  4 01:40:03 2002
Thren | an elven man | The Elven Stronghold | The Grand Hall | Wed May  8 15:08:44 2002
Bruno | a human ambassador | The Elven Stronghold | A Guest Room | Thu May  9 17:04:27 2002
Bruno | a human ambassador | The Elven Stronghold | A Guard Room | Thu May  9 17:37:58 2002
Kalessin | a halfling ambassador | The Elven Stronghold | A Guest Room | Thu May  9 20:08:54 2002
Bruno | a sidhe ambassador | The Elven Stronghold | A Guest Room | Fri May 10 11:17:02 2002
Raidana | a sidhe ambassador | The Elven Stronghold | A Large Apex | Fri May 10 11:31:21 2002
Cetus | a disgusting, rotting zombie | Mausoleum | A vacant workroom | Fri May 10 14:03:24 2002
Cetus | a disgusting, rotting zombie | Mausoleum | Lost in the graveyard fog | Fri May 10 14:29:34 2002
Bruno | an elven ambassador | The Elven Stronghold | An Arched Hallway | Fri May 10 20:13:26 2002
Bruno | a planar ambassador | The Elven Stronghold | An Ornate Hallway | Sat May 11 12:45:56 2002
Bruno | a planar ambassador | The Elven Stronghold | An Ornate Hallway | Sat May 11 13:05:37 2002
Bruno | a planar ambassador | The Elven Stronghold | Upon a wooden bridge | Sat May 11 13:14:14 2002
Bruno | a planar ambassador | The Elven Stronghold | Before the gates of the Elven Stronghold | Sat May 11 13:25:21 2002
Bruno | a celestial ambassador | The Elven Stronghold | A Guest Room | Mon May 13 10:35:04 2002
Thren | a disgusting, rotting zombie | Mausoleum | Northern main area of the Mausoleum | Tue May 14 12:28:07 2002
Thren | a young vampire | Mausoleum | The dark priest's workroom | Tue May 14 12:40:33 2002
Relik | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Sat May 18 19:38:20 2002
Kiriel | a disgusting, rotting zombie | Mausoleum | Northern main area of the Mausoleum | Sun May 19 12:45:15 2002
Marlim | a planar ambassador | The Elven Stronghold | An Ornate Hallway | Tue May 21 14:12:15 2002
Marlim | a planar ambassador | The Elven Stronghold | An Ornate Hallway | Tue May 21 14:14:27 2002
Marlim | a planar ambassador | The Elven Stronghold | A Guest Room | Wed May 22 11:31:44 2002
Marlim | a planar ambassador | The Elven Stronghold | The Entrance Hall | Wed May 22 11:50:38 2002
Mnephosis | a disgusting, rotting zombie | Mausoleum | Northern main area of the Mausoleum | Fri May 24 07:24:07 2002
Ritrav | the dark priest vampire | Mausoleum | The dark priest's workroom | Sun Jul 13 17:58:20 2003
Herosia | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 01:07:51 2003
Herosia | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Tue Jul 15 01:40:02 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:04:48 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:06:04 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:08:00 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:08:52 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:10:06 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:12:03 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:13:10 2003
Kloshen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 15 15:14:47 2003
Kloshen | Kharzandra, the Dark-elf Vampire | Mausoleum | The workroom of Kharzandra | Tue Jul 15 15:23:18 2003
Gerantin | a stronghold patrolman | The Elven Stronghold | A Guard Room | Tue Jul 15 22:16:23 2003
Garnesta | an elven guardsman | The Elven Stronghold | The Guard Barracks | Thu Jul 17 12:55:47 2003
Jenobe | a human ambassador | The Elven Stronghold | A Guest Room | Fri Jul 18 23:04:36 2003
Erifdel | a sidhe ambassador | The Elven Stronghold | A Guest Room | Mon Jul 21 22:59:23 2003
Xanenoth | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue Jul 22 17:35:11 2003
Dalafean | a planar ambassador | The Elven Stronghold | A Guest Room | Tue Jul 29 03:07:30 2003
Toryl | an elven ambassador | The Elven Stronghold | The Entrance Hall | Thu Jul 31 09:26:29 2003
Marcus | a disgusting, rotting zombie | Mausoleum | Central main area of the Mausoleum | Fri Aug  1 23:13:57 2003
Mikhail | a disgusting, rotting zombie | Mausoleum | Northeastern main area of the Mausoleum | Mon Aug  4 11:32:29 2003
Mikhail | a disgusting, rotting zombie | Mausoleum | Outside of the mausoleum | Mon Aug  4 13:57:27 2003
Iolanthe | an elven guardsman | The Elven Stronghold | The Guard Barracks | Wed Aug  6 09:04:26 2003
Mimble | an elven guardsman | The Elven Stronghold | The Guard Barracks | Wed Aug  6 09:04:56 2003
Trylartin | a halfling ambassador | The Elven Stronghold | Upon a wooden bridge | Mon Aug 11 01:45:44 2003
Krechas | a human ambassador | The Elven Stronghold | A Guest Room | Sat Aug 16 11:59:05 2003
Kaa | a human ambassador | The Elven Stronghold | An Arched Hallway | Mon Aug 18 17:03:25 2003
Azkahl | an elven blacksmith | The Elven Stronghold | The Elven Forge | Thu Aug 21 10:08:35 2003
Dalafean | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Thu Aug 21 15:13:30 2003
Dalafean | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Thu Aug 21 15:16:56 2003
Dalafean | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Thu Aug 21 15:22:13 2003
Dalafean | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Thu Aug 21 15:31:59 2003
Karchic | a minotaur ambassador | The Elven Stronghold | A Guest Room | Sat Aug 23 01:01:45 2003
Kalessin | a halfling ambassador | The Elven Stronghold | A Guest Room | Mon Aug 25 19:43:56 2003
Kalessin | a halfling ambassador | The Elven Stronghold | A Guest Room | Mon Aug 25 19:46:09 2003
Mikhail | an elven spectre | The Elven Stronghold | A Hallway through Gwenidill | Wed Aug 27 16:22:23 2003
Kalessin | an elven noble | The Elven Stronghold | The Upper Gallery | Fri Aug 29 03:32:12 2003
Ashir | an elven noble | The Elven Stronghold | The Upper Gallery | Fri Aug 29 04:13:59 2003
Kalessin | a halfling ambassador | The Elven Stronghold | The Upper Gallery | Fri Aug 29 07:43:22 2003
Xajelgrak | an elven noble | The Elven Stronghold | The Upper Gallery | Fri Aug 29 17:35:37 2003
Morgren | a human ambassador | The Elven Stronghold | The Upper Gallery | Sat Aug 30 20:58:41 2003
Itseke | a celestial ambassador | The Elven Stronghold | A Guest Room | Mon Sep  1 05:26:15 2003
Kalessin | a halfling ambassador | The Elven Stronghold | An Ornate Hallway | Mon Sep  1 05:26:17 2003
Aler | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Tue Sep  2 14:11:07 2003
Giac | the dark spectre | Mausoleum | Eastern main area of the Mausoleum | Sun Sep  7 16:38:30 2003
Vocier | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Sun Sep  7 23:49:16 2003
Uri | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Mon Sep  8 00:13:27 2003
Vocier | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Mon Sep  8 00:17:35 2003
Vocier | a stronghold patrolman | The Elven Stronghold | An Ornate Hallway | Mon Sep  8 00:20:39 2003
Vocier | a stronghold patrolman | The Elven Stronghold | A Guest Room | Mon Sep  8 00:23:10 2003
Vocier | a minotaur ambassador | The Elven Stronghold | The Elven Forge | Mon Sep  8 12:15:14 2003
Dunkaza | an elven noble | The Elven Stronghold | The Upper Gallery | Wed Sep 10 22:58:49 2003
Jible | a stronghold patrolman | The Elven Stronghold | Before the gates of the Elven Stronghold | Fri Sep 12 00:27:46 2003
Drammenmar | a Hellhound | Mausoleum | A Hellhound's roaming grounds | Sat Sep 13 13:57:43 2003
Jible | a stronghold patrolman | The Elven Stronghold | Before the gates of the Elven Stronghold | Sat Sep 13 16:02:42 2003
Jible | a stronghold patrolman | The Elven Stronghold | Before the gates of the Elven Stronghold | Sat Sep 13 16:03:58 2003
Dunkaza | an elven noble | The Elven Stronghold | The Upper Gallery | Sat Sep 13 21:49:35 2003
Jible | an elven noble | The Elven Stronghold | The Upper Gallery | Sat Sep 13 23:05:35 2003
Xorxthis | an elven spectre | The Elven Stronghold | A Hallway through Gwenidill | Mon Sep 15 12:53:18 2003
Xorxthis | an elven spectre | The Elven Stronghold | A Hallway through Gwenidill | Mon Sep 15 12:55:59 2003
Xorxthis | an elven spectre | The Elven Stronghold | Hall of the Elven Chiliad | Mon Sep 15 13:03:35 2003
Xorxthis | an elven spectre | The Elven Stronghold | Before a Door Carved with Ancient Runes | Mon Sep 15 13:25:49 2003
Dunkaza | the Spectral Dragon | The Elven Stronghold | Before a Scorched Gate | Mon Sep 15 15:32:25 2003
Chilrac | the Spectral Dragon | The Elven Stronghold | Before a Scorched Gate | Mon Sep 15 15:41:39 2003
Chilrac | an elven spectre | The Elven Stronghold | Hall of the Elven Chiliad | Mon Sep 15 15:43:47 2003
Takonus | an elven spectre | The Elven Stronghold | Before a Strange Doorway | Mon Sep 15 16:59:00 2003
Aler | a halfling ambassador | The Elven Stronghold | A Small Hallway | Thu Sep 18 11:09:58 2003
Aler | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Fri Sep 19 18:44:52 2003
Meldock | a stronghold patrolman | The Elven Stronghold | On a Spiral Staircase | Mon Sep 22 07:03:34 2003
Itseke | a stronghold patrolman | The Elven Stronghold | Before the Chambers of the Elven Lord | Tue Sep 23 09:58:16 2003
Trich | a stronghold patrolman | The Elven Stronghold | Upon a wooden bridge | Tue Sep 30 10:02:34 2003
Gastorian | a planar ambassador | The Elven Stronghold | A Guest Room | Fri Oct  3 11:19:42 2003
Niknikl | a stronghold patrolman | The Elven Stronghold | Before the gates of the Elven Stronghold | Sun Oct  5 21:00:02 2003
Dror | a stronghold patrolman | The Elven Stronghold | A Large Apex | Sat Oct 18 16:35:35 2003
Eralim | the great Dracolich | Mausoleum | The lair of the great Dracolich | Sat Oct 18 21:45:43 2003
Vizherai | the Spectral Dragon | The Elven Stronghold | Before a Scorched Gate | Mon Oct 27 03:57:19 2003
Vir | a disgusting, rotting zombie | Mausoleum | Northeastern main area of the Mausoleum | Tue Oct 28 22:36:47 2003
Gaerak | the great Dracolich | Mausoleum | The lair of the great Dracolich | Mon Nov  3 19:32:04 2003
Ogriban | a minotaur ambassador | The Elven Stronghold | Before the Chambers of the Elven Lord | Tue Nov 25 13:02:27 2003
Dyhenik | a planar ambassador | The Elven Stronghold | An Ornate Hallway | Thu Dec  4 20:10:49 2003
Jarrakul | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Mon Dec 22 04:03:38 2003
Targon | a stronghold patrolman | The Elven Stronghold | A Guest Room | Sun Dec 28 00:06:14 2003
Valandil | the dark priest vampire | Mausoleum | The dark priest's coffin room | Wed Dec 31 11:14:47 2003
Valandil | the dark spectre | Mausoleum | Northern main area of the Mausoleum | Wed Dec 31 11:32:38 2003
Avernell | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Wed Dec 31 16:00:31 2003
Vrourk | a disgusting, rotting zombie | Mausoleum | Central main area of the Mausoleum | Tue Jan  6 12:03:12 2004
Prantir | an elven noble | The Elven Stronghold | The Upper Gallery | Tue Jan 20 12:02:55 2004
Ordu | a sidhe ambassador | The Elven Stronghold | A Small Hallway | Tue Jan 27 02:47:16 2004
Tekenden | an elven noble | The Elven Stronghold | The Upper Gallery | Thu Feb 19 17:53:26 2004
Gurd | a stronghold patrolman | The Elven Stronghold | An Ornate Hallway | Fri Feb 20 15:14:35 2004
Gurd | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Fri Feb 20 15:25:35 2004
Guillot | a wind dancer | Dendurro Palace | The Star Bridge | Tue Mar  2 14:14:14 2004
Belial | a disgusting, rotting zombie | Mausoleum | Outside of the mausoleum | Tue Mar  2 15:34:46 2004
Guillot | a wind dancer | Dendurro Palace | A Steel Bridge | Tue Mar  2 17:37:07 2004
Miky | a human ambassador | The Elven Stronghold | An Archer's Post | Thu Mar 11 22:43:48 2004
Meranwan | a stronghold patrolman | The Elven Stronghold | The Upper Gallery | Sun Mar 14 17:43:14 2004
Alakymma | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun Mar 14 19:05:09 2004
Takimen | a disgusting, rotting zombie | Mausoleum | Foyer of the mausoleum | Tue Mar 16 20:32:48 2004
Sertac | the dark priest vampire | Mausoleum | The dark priest's coffin room | Tue Mar 23 11:36:13 2004
Sertac | a disgusting, rotting zombie | Mausoleum | Western check point | Tue Mar 23 11:46:24 2004
Brudish | a minotaur ambassador | The Elven Stronghold | On a Spiral Staircase | Wed Mar 24 21:21:09 2004
Krogan | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Mon Mar 29 16:35:09 2004
Linaot | the dark spectre | Mausoleum | Northwest main area of the Mausoleum | Sun Apr  4 13:20:40 2004
Poanst | a sidhe ambassador | The Elven Stronghold | A Guest Room | Mon Apr  5 20:14:47 2004
Dragonis | a stronghold patrolman | The Elven Stronghold | An Ornate Hallway | Sat Apr 10 12:26:18 2004
Ulalume | a stronghold patrolman | The Elven Stronghold | A Guard Room | Tue Apr 13 20:00:05 2004
Gilin | a stronghold patrolman | The Elven Stronghold | A Guard Room | Tue Apr 13 20:09:05 2004
Phares | an elven noble | The Elven Stronghold | The Upper Gallery | Wed Apr 14 02:18:29 2004
Ulalume | an elven noble | The Elven Stronghold | The Upper Gallery | Wed Apr 14 02:18:53 2004
Phares | a planar ambassador | The Elven Stronghold | A Large Apex | Wed Apr 14 02:49:09 2004
Phares | a planar ambassador | The Elven Stronghold | The Guard Barracks | Thu Apr 15 23:53:52 2004
Phares | a planar ambassador | The Elven Stronghold | The Elven Forge | Fri Apr 16 13:35:12 2004
Pinast | a planar ambassador | The Elven Stronghold | The Guard Barracks | Sat Apr 17 12:37:14 2004
Marvadaho | a stronghold patrolman | The Elven Stronghold | Upon a wooden bridge | Sun Apr 18 11:56:58 2004
Krudas | an elven blacksmith | The Elven Stronghold | The Elven Forge | Thu Apr 22 07:39:03 2004
Dubbs | an elven blacksmith | The Elven Stronghold | The Elven Forge | Thu Apr 22 21:16:21 2004
Krudas | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Fri Apr 23 09:05:44 2004
Kramunhao | a disgusting, rotting zombie | Mausoleum | Foyer of the mausoleum | Sat Apr 24 10:54:26 2004
Krudas | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Mon Apr 26 10:48:02 2004
Krudas | an elven ambassador | The Elven Stronghold | The Bed Chambers of the Elven Lord | Mon Apr 26 10:53:42 2004
Krudas | an elven ambassador | The Elven Stronghold | The Bed Chambers of the Elven Lord | Mon Apr 26 10:59:31 2004
Krudas | an elven ambassador | The Elven Stronghold | The Bed Chambers of the Elven Lord | Mon Apr 26 11:04:58 2004
Krudas | an elven ambassador | The Elven Stronghold | The Bed Chambers of the Elven Lord | Mon Apr 26 11:08:09 2004
Krudas | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Mon Apr 26 11:13:46 2004
Spectrin | a minotaur ambassador | The Elven Stronghold | Before a vast ravine | Fri Apr 30 08:08:31 2004
Persas | a minotaur ambassador | The Elven Stronghold | Before a vast ravine | Fri Apr 30 08:13:49 2004
Krudas | a minotaur ambassador | The Elven Stronghold | Before a vast ravine | Fri Apr 30 08:19:39 2004
Verdival | a stronghold patrolman | The Elven Stronghold | The Upper Gallery | Fri Apr 30 12:31:27 2004
Verdival | an elven blacksmith | The Elven Stronghold | The Elven Forge | Fri Apr 30 14:26:09 2004
Rogis | a minotaur ambassador | The Elven Stronghold | An Arched Hallway | Sat May  1 00:37:24 2004
Spectrin | a minotaur ambassador | The Elven Stronghold | An Arched Hallway | Sat May  1 00:42:43 2004
Krudas | a minotaur ambassador | The Elven Stronghold | An Arched Hallway | Sat May  1 00:45:49 2004
Rogis | a minotaur ambassador | The Elven Stronghold | An Arched Hallway | Sat May  1 00:46:07 2004
Krudas | a minotaur ambassador | The Elven Stronghold | An Arched Hallway | Sat May  1 00:50:33 2004
Spectrin | a minotaur ambassador | The Elven Stronghold | An Arched Hallway | Sat May  1 00:51:07 2004
Rogis | a minotaur ambassador | The Elven Stronghold | On a Spiral Staircase | Sat May  1 00:54:25 2004
Krudas | a minotaur ambassador | The Elven Stronghold | An Ornate Hallway | Sat May  1 17:01:54 2004
Krudas | a minotaur ambassador | The Elven Stronghold | An Ornate Hallway | Sat May  1 17:06:26 2004
Takimen | a Hellhound | Mausoleum | Northwest main area of the Mausoleum | Mon May  3 19:46:16 2004
Ramel | a human ambassador | The Elven Stronghold | A Small Hallway | Fri May  7 15:53:20 2004
Zeglifin | a halfling ambassador | The Elven Stronghold | The Upper Gallery | Tue May 11 10:17:48 2004
Brutus | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue May 11 19:33:54 2004
Lorythyn | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Tue May 11 19:44:32 2004
Lorrel | a human ambassador | The Elven Stronghold | A Large Apex | Wed May 12 13:21:49 2004
Brutus | the great Dracolich | Mausoleum | The lair of the great Dracolich | Wed May 12 16:33:13 2004
Huvtolien | a stronghold patrolman | The Elven Stronghold | An Ornate Hallway | Tue May 18 09:02:28 2004
Khazidhea | a human ambassador | The Elven Stronghold | The Bed Chambers of the Elven Lord | Tue May 18 15:34:28 2004
Adonaieth | a stronghold patrolman | The Elven Stronghold | A Guard Room | Tue May 18 17:33:57 2004
Huvtolien | the great Dracolich | Mausoleum | The lair of the great Dracolich | Fri May 21 01:30:07 2004
Joperi | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Fri May 21 20:49:13 2004
Karouf | a halfling ambassador | The Elven Stronghold | A Split in the Hallway | Sat May 22 09:09:55 2004
Ciryatan | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Mon May 24 12:38:37 2004
Brudish | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Mon May 24 21:21:40 2004
Brudish | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Mon May 24 21:38:35 2004
Gorfil | a disgusting, rotting zombie | Mausoleum | Eastern main area of the Mausoleum | Mon May 31 18:00:22 2004
Brudish | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Fri Jun  4 00:52:51 2004
Urbanski | the dark priest vampire | Mausoleum | The dark priest's coffin room | Sun Jun  6 07:59:00 2004
Urbanski | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun Jun  6 08:06:04 2004
Lotherican | a human ambassador | The Elven Stronghold | An Arched Hallway | Sun Jun 27 19:20:41 2004
Flarg | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Thu Jul  1 09:00:10 2004
Hanz | a halfling ambassador | The Elven Stronghold | Before the gates of the Elven Stronghold | Wed Aug  4 17:16:01 2004
Bruno | a stronghold patrolman | The Elven Stronghold | Upon a wooden bridge | Tue Aug 10 14:55:21 2004
